combo,mod,N,mean,median,stddev
AKAZE_BRISK,CAM,18,12.64503888888889,12.527349999999998,2.6174222564531964
AKAZE_BRISK,LID,18,11.731709444444443,12.25,2.3704654721464684
BRISK_BRISK,CAM,18,14.518213333333328,14.14185,4.292573746346383
BRISK_BRISK,LID,18,11.731709444444443,12.25,2.3704654721464684
FAST_BRISK,CAM,18,13.289887222222221,11.5063,4.080544984692343
FAST_BRISK,LID,18,11.731709444444443,12.25,2.3704654721464684
HARRIS_BRIEF,CAM,0,nan,nan,nan
HARRIS_BRIEF,LID,0,nan,nan,nan
HARRIS_BRISK,CAM,0,nan,nan,nan
HARRIS_BRISK,LID,0,nan,nan,nan
HARRIS_FREAK,CAM,0,nan,nan,nan
HARRIS_FREAK,LID,0,nan,nan,nan
HARRIS_ORB,CAM,0,nan,nan,nan
HARRIS_ORB,LID,0,nan,nan,nan
HARRIS_SIFT,CAM,0,nan,nan,nan
HARRIS_SIFT,LID,0,nan,nan,nan
ORB_BRISK,CAM,11,16.673803636363637,11.0997,13.078623660134241
ORB_BRISK,LID,18,11.731709444444443,12.25,2.3704654721464684
SHITOMASI_BRISK,CAM,17,16.07115,11.414,13.67838885935724
SHITOMASI_BRISK,LID,18,11.731709444444443,12.25,2.3704654721464684
SIFT_BRISK,CAM,18,11.500075555555558,11.754000000000001,2.6591903505123557
SIFT_BRISK,LID,18,11.731709444444443,12.25,2.3704654721464684
